taxonomy_id,l1_field,l2_domain,subfield_name,keyword_rank_within_subfield,keyword,keyword_norm,keyword_type,match_priority,keyword_weight,source_system,source_code
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,1,astronomy and astrophysics,astronomy and astrophysics,exact_or_near_exact,5,1,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,2,astronomy,astronomy,exact_or_near_exact,5,1,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,3,astrophysics,astrophysics,exact_or_near_exact,5,1,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,4,cosmology,cosmology,token_or_phrase_expansion,4,0.9,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,5,telescopes,telescopes,token_or_phrase_expansion,4,0.9,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,6,stellar systems,stellar systems,token_or_phrase_expansion,4,0.9,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,7,planet formation,planet formation,token_or_phrase_expansion,4,0.9,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,8,space observation,space observation,token_or_phrase_expansion,4,0.9,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,9,planetary systems,planetary systems,domain_seed,3,0.75,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,10,orbital dynamics,orbital dynamics,domain_seed,3,0.75,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,11,remote sensing,remote sensing,domain_seed,3,0.75,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,12,stellar physics,stellar physics,domain_seed,3,0.75,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,13,space instruments,space instruments,domain_seed,3,0.75,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,14,empirical measurement,empirical measurement,domain_seed,3,0.75,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,15,theoretical model,theoretical model,contextual_seed,2,0.6,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,16,laboratory experiment,laboratory experiment,contextual_seed,2,0.6,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,17,field data,field data,contextual_seed,2,0.6,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,18,astronomy and astrophysics methods,astronomy and astrophysics methods,contextual_seed,2,0.6,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,19,astronomy and astrophysics research,astronomy and astrophysics research,contextual_seed,2,0.6,Scopus ASJC,3103
TX0002,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomy and Astrophysics,20,astronomy and astrophysics analysis,astronomy and astrophysics analysis,contextual_seed,2,0.6,Scopus ASJC,3103
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,1,general physics and astronomy,general physics and astronomy,exact_or_near_exact,5,1,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,2,general physics,general physics,exact_or_near_exact,5,1,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,3,astronomy,astronomy,exact_or_near_exact,5,1,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,4,physical models,physical models,token_or_phrase_expansion,4,0.9,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,5,measurement,measurement,token_or_phrase_expansion,4,0.9,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,6,theory,theory,token_or_phrase_expansion,4,0.9,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,7,experimental physics,experimental physics,token_or_phrase_expansion,4,0.9,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,8,physical systems,physical systems,token_or_phrase_expansion,4,0.9,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,9,astrophysics,astrophysics,domain_seed,3,0.75,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,10,cosmology,cosmology,domain_seed,3,0.75,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,11,telescopes,telescopes,domain_seed,3,0.75,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,12,stellar systems,stellar systems,domain_seed,3,0.75,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,13,planet formation,planet formation,domain_seed,3,0.75,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,14,space observation,space observation,domain_seed,3,0.75,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,15,planetary systems,planetary systems,contextual_seed,2,0.6,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,16,orbital dynamics,orbital dynamics,contextual_seed,2,0.6,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,17,remote sensing,remote sensing,contextual_seed,2,0.6,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,18,stellar physics,stellar physics,contextual_seed,2,0.6,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,19,space instruments,space instruments,contextual_seed,2,0.6,Scopus ASJC,3100
TX0003,Natural Sciences & Mathematics,Astronomy & Space Science,General Physics and Astronomy,20,empirical measurement,empirical measurement,contextual_seed,2,0.6,Scopus ASJC,3100
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),1,physics and astronomy,physics and astronomy,exact_or_near_exact,5,1,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),2,physics,physics,exact_or_near_exact,5,1,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),3,astronomy,astronomy,exact_or_near_exact,5,1,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),4,physical models,physical models,token_or_phrase_expansion,4,0.9,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),5,measurement,measurement,token_or_phrase_expansion,4,0.9,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),6,theory,theory,token_or_phrase_expansion,4,0.9,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),7,experimental physics,experimental physics,token_or_phrase_expansion,4,0.9,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),8,physical systems,physical systems,token_or_phrase_expansion,4,0.9,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),9,astrophysics,astrophysics,domain_seed,3,0.75,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),10,cosmology,cosmology,domain_seed,3,0.75,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),11,telescopes,telescopes,domain_seed,3,0.75,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),12,stellar systems,stellar systems,domain_seed,3,0.75,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),13,planet formation,planet formation,domain_seed,3,0.75,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),14,space observation,space observation,domain_seed,3,0.75,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),15,planetary systems,planetary systems,contextual_seed,2,0.6,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),16,orbital dynamics,orbital dynamics,contextual_seed,2,0.6,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),17,remote sensing,remote sensing,contextual_seed,2,0.6,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),18,stellar physics,stellar physics,contextual_seed,2,0.6,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),19,space instruments,space instruments,contextual_seed,2,0.6,Scopus ASJC,3101
TX0004,Natural Sciences & Mathematics,Astronomy & Space Science,Physics and Astronomy (miscellaneous),20,empirical measurement,empirical measurement,contextual_seed,2,0.6,Scopus ASJC,3101
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,1,space and planetary science,space and planetary science,exact_or_near_exact,5,1,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,2,space,space,exact_or_near_exact,5,1,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,3,planetary science,planetary science,exact_or_near_exact,5,1,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,4,space science,space science,token_or_phrase_expansion,4,0.9,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,5,planetary systems,planetary systems,token_or_phrase_expansion,4,0.9,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,6,remote sensing,remote sensing,token_or_phrase_expansion,4,0.9,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,7,orbital mechanics,orbital mechanics,token_or_phrase_expansion,4,0.9,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,8,space weather,space weather,token_or_phrase_expansion,4,0.9,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,9,astrophysics,astrophysics,domain_seed,3,0.75,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,10,space observation,space observation,domain_seed,3,0.75,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,11,cosmology,cosmology,domain_seed,3,0.75,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,12,orbital dynamics,orbital dynamics,domain_seed,3,0.75,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,13,stellar physics,stellar physics,domain_seed,3,0.75,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,14,space instruments,space instruments,domain_seed,3,0.75,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,15,empirical measurement,empirical measurement,contextual_seed,2,0.6,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,16,theoretical model,theoretical model,contextual_seed,2,0.6,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,17,laboratory experiment,laboratory experiment,contextual_seed,2,0.6,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,18,field data,field data,contextual_seed,2,0.6,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,19,space and planetary science methods,space and planetary science methods,contextual_seed,2,0.6,Scopus ASJC,1912
TX0005,Natural Sciences & Mathematics,Astronomy & Space Science,Space and Planetary Science,20,space and planetary science research,space and planetary science research,contextual_seed,2,0.6,Scopus ASJC,1912
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,1,space sciences,space sciences,exact_or_near_exact,5,1,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,2,space science,space science,exact_or_near_exact,5,1,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,3,planetary systems,planetary systems,exact_or_near_exact,5,1,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,4,remote sensing,remote sensing,token_or_phrase_expansion,4,0.9,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,5,orbital mechanics,orbital mechanics,token_or_phrase_expansion,4,0.9,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,6,space weather,space weather,token_or_phrase_expansion,4,0.9,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,7,astrophysics,astrophysics,token_or_phrase_expansion,4,0.9,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,8,space observation,space observation,token_or_phrase_expansion,4,0.9,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,9,cosmology,cosmology,domain_seed,3,0.75,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,10,orbital dynamics,orbital dynamics,domain_seed,3,0.75,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,11,stellar physics,stellar physics,domain_seed,3,0.75,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,12,space instruments,space instruments,domain_seed,3,0.75,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,13,empirical measurement,empirical measurement,domain_seed,3,0.75,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,14,theoretical model,theoretical model,domain_seed,3,0.75,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,15,laboratory experiment,laboratory experiment,contextual_seed,2,0.6,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,16,field data,field data,contextual_seed,2,0.6,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,17,space sciences methods,space sciences methods,contextual_seed,2,0.6,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,18,space sciences research,space sciences research,contextual_seed,2,0.6,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,19,space sciences analysis,space sciences analysis,contextual_seed,2,0.6,Custom Extension,5109
TX0006,Natural Sciences & Mathematics,Astronomy & Space Science,Space sciences,20,space sciences model,space sciences model,contextual_seed,2,0.6,Custom Extension,5109
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,1,applied microbiology and biotechnology,applied microbiology and biotechnology,exact_or_near_exact,5,1,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,2,applied microbiology,applied microbiology,exact_or_near_exact,5,1,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,3,biotechnology,biotechnology,exact_or_near_exact,5,1,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,4,microbes,microbes,token_or_phrase_expansion,4,0.9,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,5,microbial ecology,microbial ecology,token_or_phrase_expansion,4,0.9,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,6,pathogens,pathogens,token_or_phrase_expansion,4,0.9,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,7,host microbe,host microbe,token_or_phrase_expansion,4,0.9,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,8,microbial genetics,microbial genetics,token_or_phrase_expansion,4,0.9,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,9,bioprocess,bioprocess,domain_seed,3,0.75,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,10,biomanufacturing,biomanufacturing,domain_seed,3,0.75,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,11,genetic engineering,genetic engineering,domain_seed,3,0.75,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,12,industrial biotech,industrial biotech,domain_seed,3,0.75,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,13,applied biotech,applied biotech,domain_seed,3,0.75,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,14,biological systems,biological systems,domain_seed,3,0.75,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,15,molecular pathways,molecular pathways,contextual_seed,2,0.6,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,16,cellular processes,cellular processes,contextual_seed,2,0.6,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,17,experimental biology,experimental biology,contextual_seed,2,0.6,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,18,omics,omics,contextual_seed,2,0.6,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,19,laboratory assays,laboratory assays,contextual_seed,2,0.6,Scopus ASJC,2402
TX0007,Natural Sciences & Mathematics,Biological Sciences,Applied Microbiology and Biotechnology,20,biological regulation,biological regulation,contextual_seed,2,0.6,Scopus ASJC,2402
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,1,bioinformatics and computational biology,bioinformatics and computational biology,exact_or_near_exact,5,1,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,2,bioinformatics,bioinformatics,exact_or_near_exact,5,1,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,3,computational biology,computational biology,exact_or_near_exact,5,1,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,4,simulation,simulation,token_or_phrase_expansion,4,0.9,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,5,numerical methods,numerical methods,token_or_phrase_expansion,4,0.9,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,6,modeling,modeling,token_or_phrase_expansion,4,0.9,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,7,algorithm design,algorithm design,token_or_phrase_expansion,4,0.9,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,8,high performance computing,high performance computing,token_or_phrase_expansion,4,0.9,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,9,biological systems,biological systems,domain_seed,3,0.75,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,10,molecular pathways,molecular pathways,domain_seed,3,0.75,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,11,cellular processes,cellular processes,domain_seed,3,0.75,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,12,experimental biology,experimental biology,domain_seed,3,0.75,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,13,omics,omics,domain_seed,3,0.75,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,14,laboratory assays,laboratory assays,domain_seed,3,0.75,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,15,biological regulation,biological regulation,contextual_seed,2,0.6,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,16,biological interactions,biological interactions,contextual_seed,2,0.6,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,17,empirical measurement,empirical measurement,contextual_seed,2,0.6,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,18,theoretical model,theoretical model,contextual_seed,2,0.6,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,19,laboratory experiment,laboratory experiment,contextual_seed,2,0.6,Custom Extension,3102
TX0008,Natural Sciences & Mathematics,Biological Sciences,Bioinformatics and computational biology,20,field data,field data,contextual_seed,2,0.6,Custom Extension,3102
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,1,biotechnology,biotechnology,exact_or_near_exact,5,1,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,2,bioprocess,bioprocess,exact_or_near_exact,5,1,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,3,biomanufacturing,biomanufacturing,exact_or_near_exact,5,1,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,4,genetic engineering,genetic engineering,token_or_phrase_expansion,4,0.9,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,5,industrial biotech,industrial biotech,token_or_phrase_expansion,4,0.9,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,6,applied biotech,applied biotech,token_or_phrase_expansion,4,0.9,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,7,biological systems,biological systems,token_or_phrase_expansion,4,0.9,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,8,molecular pathways,molecular pathways,token_or_phrase_expansion,4,0.9,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,9,cellular processes,cellular processes,domain_seed,3,0.75,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,10,experimental biology,experimental biology,domain_seed,3,0.75,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,11,omics,omics,domain_seed,3,0.75,Scopus ASJC,1305
TX0009,Natural Sciences & Mathematics,Biological Sciences,Biotechnology,12,laboratory assays,laboratory assays,domain_seed,3,0.75,Scopus ASJC,1305
